benchmark,planner,executor,accuracy_pct,planner_input_tokens_per_task,planner_output_tokens_per_task,planner_cost_per_task_usd,executor_input_tokens_per_task,executor_output_tokens_per_task,executor_cost_per_task_usd,total_cost_per_task_usd,source
FinanceBench,Claude-Opus-4.6,Claude-Opus-4.6,45.3,3082,2055,0.0401,31302,7826,0.2003,0.2404,metrics_json
FinanceBench,Claude-Opus-4.6,GLM-5.1,43.3,875,583,0.0114,112866,28217,0.1011,0.1125,metrics_json
FinanceBench,Claude-Opus-4.6,GPT-5.4,44.7,1493,995,0.0194,17110,4278,0.0462,0.0656,metrics_json
FinanceBench,Claude-Opus-4.6,MiniMax-M2.7,32.7,1393,929,0.0181,63871,15968,0.0276,0.0457,metrics_json
FinanceBench,GLM-5.1,Claude-Opus-4.6,40.7,87868,58578,0.1608,24453,6113,0.1565,0.3173,metrics_json
FinanceBench,GLM-5.1,GLM-5.1,54.7,366,490,0.0023,195715,1493,0.0855,0.0878,metrics_json
FinanceBench,GLM-5.1,GPT-5.4,41.3,1897,1265,0.0035,7751,1938,0.0209,0.0244,metrics_json
FinanceBench,GLM-5.1,MiniMax-M2.7,47.3,366,397,0.0020,48847,1015,0.0106,0.0126,metrics_json
FinanceBench,GPT-5.4,Claude-Opus-4.6,47.3,5752,3835,0.0316,51901,12975,0.3322,0.3638,metrics_json
FinanceBench,GPT-5.4,GLM-5.1,43.3,1025,683,0.0056,91366,22841,0.0819,0.0875,metrics_json
FinanceBench,GPT-5.4,GPT-5.4,44.7,879,586,0.0048,8951,2238,0.0242,0.0290,metrics_json
FinanceBench,GPT-5.4,MiniMax-M2.7,47.3,1017,678,0.0056,41446,10362,0.0179,0.0235,metrics_json
FinanceBench,MiniMax-M2.7,Claude-Opus-4.6,38.0,13524,9016,0.0119,48812,12203,0.3124,0.3243,metrics_json
FinanceBench,MiniMax-M2.7,GLM-5.1,53.3,355,575,0.0013,183023,1548,0.0817,0.0830,metrics_json
FinanceBench,MiniMax-M2.7,GPT-5.4,34.7,1911,1274,0.0017,7785,1946,0.0210,0.0227,metrics_json
FinanceBench,MiniMax-M2.7,MiniMax-M2.7,48.7,368,746,0.0017,54579,1168,0.0122,0.0139,metrics_json
IMO-AnswerBench,Claude-Opus-4.6,Claude-Opus-4.6,80.2,399,2746,0.0707,237158,13900,1.5333,1.6040,imo_db
IMO-AnswerBench,Claude-Opus-4.6,GLM-5.1,75.9,378,3072,0.0787,343759,28141,0.4152,0.4939,imo_db
IMO-AnswerBench,Claude-Opus-4.6,GPT-5.4,71.9,427,3194,0.0820,28790,2722,0.1128,0.1948,imo_db
IMO-AnswerBench,Claude-Opus-4.6,MiniMax-M2.7,71.9,414,3240,0.0831,417613,22953,0.2038,0.2868,imo_db
IMO-AnswerBench,GLM-5.1,Claude-Opus-4.6,75.4,380,1811,0.0042,101340,9053,0.7330,0.7372,imo_db
IMO-AnswerBench,GLM-5.1,GLM-5.1,62.5,394,4083,0.0132,216266,36266,0.3197,0.3329,imo_db
IMO-AnswerBench,GLM-5.1,GPT-5.4,68.8,382,3680,0.0120,12674,3004,0.0767,0.0887,imo_db
IMO-AnswerBench,GLM-5.1,MiniMax-M2.7,62.5,395,4984,0.0161,307806,43381,0.1925,0.2086,imo_db
IMO-AnswerBench,GPT-5.4,Claude-Opus-4.6,76.0,382,1512,0.0236,87630,6736,0.6065,0.6302,imo_db
IMO-AnswerBench,GPT-5.4,GLM-5.1,68.8,395,1200,0.0190,410711,47018,0.5383,0.5573,imo_db
IMO-AnswerBench,GPT-5.4,GPT-5.4,54.0,395,1230,0.0194,32999,3427,0.1339,0.1533,imo_db
