model_self_play,task_id,quality_score,total_cost_usd,plan_cost_usd,exec_cost_usd,total_input_tokens,total_output_tokens
GPT-5.4,689f4d693e212e8ef3390731,1.0,0.13035000000000002,0.010905,0.11944500000000001,45786,1059
GPT-5.4,688a441c1a0d2e5c93853e76,0.0,0.76811,0.0252025,0.7429074999999999,284630,3769
GPT-5.4,68925f01db31fe35560e3e97,0.667,0.2904175,0.02033,0.2700875,105397,1795
GPT-5.4,689bd255c0422b257e7dfcf4,0.0,0.22726749999999998,0.01744,0.20982749999999997,80347,1760
GPT-5.4,689e0b1d9c8e2ac413c1f25c,1.0,0.190965,0.0223575,0.1686075,62076,2385
GPT-5.4,68a398aa2f58036e8d45ede8,0.667,0.08234,0.01412,0.06822,25208,1288
GPT-5.4,68925f01db31fe35560e3e9f,0.75,0.0616575,0.02264,0.0390175,12567,2016
GPT-5.4,68993ef3cf3e953b8ab83fa3,0.0,0.050245,0.021315,0.02893,13192,1151
GPT-5.4,689cd6f8522029b7ad7b200a,0.6,0.45680750000000003,0.03173,0.42507750000000005,158681,4007
GPT-5.4,6896416f7b30e5d8ccd7c901,0.9,0.275505,0.031587500000000004,0.2439175,85398,4134
GPT-5.4,6897a6002b64a8c831efa2f6,0.333,0.17851999999999998,0.0203275,0.15819249999999999,61910,1583
GPT-5.4,689bd255c0422b257e7dfcc1,0.4,0.9183049999999999,0.016125,0.9021799999999999,356948,1729
GPT-5.4,6887c6d4614f06dc73af243e,0.167,2.3198450000000004,0.01743,2.3024150000000003,906530,3568
GPT-5.4,689bd255c0422b257e7dfcbb,0.333,0.1562925,0.0205925,0.13570000000000002,53277,1540
GPT-5.4,689bd255c0422b257e7dfcc4,0.0,0.092535,0.019525,0.07301,27348,1611
GPT-5.4,689e0b1d9c8e2ac413c1f211,0.833,0.1538525,0.0271,0.12675250000000002,37529,4002
GPT-5.4,689a373e148a49f91233dfe4,0.75,0.2474975,0.0158525,0.23164500000000002,89159,1640
GPT-5.4,6886306b5ed4da6b2c381189,0.786,0.17313499999999998,0.0284775,0.1446575,52622,2772
GPT-5.4,6896416f7b30e5d8ccd7c8f7,1.0,0.2338175,0.022965,0.2108525,79841,2281
GPT-5.4,6896416f7b30e5d8ccd7c8f0,0.5,0.169135,0.0230025,0.1461325,53884,2295
GPT-5.4,688ba1b3e95696e72dd93e8d,1.0,0.22658999999999999,0.0148625,0.21172749999999999,82170,1411
GPT-5.4,689cd6f8522029b7ad7b1fe7,1.0,0.14881499999999998,0.01267,0.136145,52080,1241
GPT-5.4,689cd6f8522029b7ad7b1fe5,0.0,0.25812,0.017695000000000002,0.240425,86328,2820
GPT-5.4,688ba1b3e95696e72dd93e8a,1.0,0.128455,0.017015,0.11144000000000001,43612,1295
GPT-5.4,689a373e148a49f91233e021,1.0,0.2044975,0.0302225,0.174275,68293,2251
GPT-5.4,689af4e653c3905e7b5b258e,0.75,0.9781325000000001,0.017425000000000003,0.9607075,378167,2181
GPT-5.4,68993ef3cf3e953b8ab83fd5,0.6,0.1891675,0.016295,0.17287249999999998,68095,1262
GPT-5.4,68940d8355faa0b720f0b4b4,1.0,0.30203250000000004,0.01939,0.2826425,112011,1467
GPT-5.4,68993ef3cf3e953b8ab83fe3,1.0,0.090935,0.017242499999999997,0.07369250000000001,27728,1441
GPT-5.4,689f4d693e212e8ef3390707,0.2,0.08447750000000001,0.0250725,0.059405000000000006,18665,2521
GPT-5.4,689f4d693e212e8ef339071f,1.0,0.4582425,0.01702,0.4412225,155835,4577
GPT-5.4,689f4d693e212e8ef3390720,0.8,0.3417875,0.021405,0.3203825,124277,2073
GPT-5.4,6880e844943a73a8c5e412c3,0.25,0.5564125,0.03399,0.5224225,191467,5183
GPT-5.4,689a373e148a49f91233dff0,0.333,0.1297875,0.0304275,0.09936,37545,2395
GPT-5.4,68824c643e6ff020bc33994b,0.4,0.4835875,0.023132500000000004,0.460455,181705,1955
GPT-5.4,68834223448b8fe04df2a592,0.917,0.376285,0.024195,0.35208999999999996,138922,1932
GPT-5.4,68993ef3cf3e953b8ab83fa9,0.929,0.27498999999999996,0.029925,0.24506499999999998,93814,2697
GPT-5.4,68940d8355faa0b720f0b499,0.4,0.29856499999999997,0.024315,0.27425,107540,1981
GPT-5.4,689bd255c0422b257e7dfcad,0.0,0.376145,0.015625,0.36052,129182,3546
GPT-5.4,689bd255c0422b257e7dfcb5,0.5,0.28883000000000003,0.023802500000000004,0.2650275,104408,1854
GPT-5.4,689af4e653c3905e7b5b25b8,1.0,0.19594000000000003,0.027222500000000004,0.16871750000000002,57364,3502
GPT-5.4,689a373e148a49f91233dfd3,1.0,0.09755749999999999,0.02583,0.0717275,25055,2328
GPT-5.4,68925f01db31fe35560e3ea2,0.833,0.0975125,0.014527499999999999,0.082985,30593,1402
GPT-5.4,689cd6f8522029b7ad7b202f,0.0,0.576085,0.014135,0.56195,222088,1391
GPT-5.4,689a373e148a49f91233dfce,1.0,0.17005,0.0116475,0.1584025,62182,973
GPT-5.4,689bd255c0422b257e7dfcbc,0.5,0.38003499999999996,0.021200000000000004,0.35883499999999996,142264,1625
GPT-5.4,6897a6002b64a8c831efa336,0.5,0.18822250000000001,0.0223975,0.165825,63481,1968
GPT-5.4,689f4d693e212e8ef339072a,1.0,0.0883025,0.022185,0.06611750000000001,23885,1906
GPT-5.4,68993ef3cf3e953b8ab83fd3,1.0,0.07870250000000001,0.0147025,0.064,25013,1078
GPT-5.4,689cd6f8522029b7ad7b202a,0.812,0.7238650000000001,0.021207499999999997,0.7026575,277228,2053
GPT-5.4,688fb11183792b921381bd38,1.0,0.0542,0.015434999999999999,0.038765,14414,1211
GPT-5.4,6886306b5ed4da6b2c38117c,0.0,0.1957575,0.021695,0.1740625,67143,1860
GPT-5.4,68925f01db31fe35560e3e85,1.0,0.29312000000000005,0.0181425,0.27497750000000004,107774,1579
GPT-5.4,689af4e653c3905e7b5b2581,0.5,0.2360275,0.023670000000000004,0.2123575,82819,1932
GPT-5.4,689af4e653c3905e7b5b25c2,1.0,0.41214500000000004,0.0224475,0.38969750000000003,153890,1828
GPT-5.4,689a373e148a49f91233dfd6,0.333,0.38881750000000004,0.0237425,0.36507500000000004,143221,2051
GPT-5.4,689bd255c0422b257e7dfcca,0.4,0.099605,0.013985000000000001,0.08562,33278,1094
GPT-5.4,6888e207a34beb25cfedda6a,0.111,0.0601725,0.015785,0.044387499999999996,15843,1371
GPT-5.4,689af4e653c3905e7b5b2596,1.0,0.27005,0.01417,0.25588,101354,1111
GPT-5.4,68952adeba1c2ad4e6a5db6e,0.5,0.246325,0.019087499999999997,0.22723749999999998,88870,1610
Claude-Opus-4.6,689f4d693e212e8ef3390731,0.333,0.216745,0.014465,0.20228,36484,1373
Claude-Opus-4.6,688a441c1a0d2e5c93853e76,0.0,14.858204999999998,0.030895,14.827309999999999,2925696,9189
Claude-Opus-4.6,68925f01db31fe35560e3e97,1.0,0.501845,0.028769999999999997,0.473075,90674,1939
Claude-Opus-4.6,689bd255c0422b257e7dfcf4,0.5,1.004265,0.026935,0.97733,186233,2924
Claude-Opus-4.6,689e0b1d9c8e2ac413c1f25c,1.0,0.213235,0.02249,0.190745,34602,1609
Claude-Opus-4.6,68a398aa2f58036e8d45ede8,0.667,7.2205,0.025685,7.194815,1397215,9377
Claude-Opus-4.6,68925f01db31fe35560e3e9f,0.75,1.844335,0.03305,1.811285,355322,2709
Claude-Opus-4.6,68993ef3cf3e953b8ab83fa3,0.0,0.462305,0.03786,0.424445,79466,2599
Claude-Opus-4.6,689cd6f8522029b7ad7b200a,1.0,4.402749999999999,0.034640000000000004,4.36811,845005,7109
Claude-Opus-4.6,6896416f7b30e5d8ccd7c901,0.9,0.49407999999999996,0.035464999999999997,0.45861499999999994,86636,2436
