benchmark,planner,executor,team_type,cost_per_task_usd,accuracy_pct
MCP-Atlas,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,0.67,82.8
MCP-Atlas,GLM-5.1,GLM-5.1,homogeneous,0.14,78.1
MCP-Atlas,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,0.67,76.7
MCP-Atlas,GPT-5.4,GPT-5.4,homogeneous,0.41,62.1
MCP-Atlas,MiniMax-M2.7,MiniMax-M2.7,homogeneous,0.06,63.9
MedAgentBench,GPT-5.4,GLM-5.1,heterogeneous,0.009,93.3
MedAgentBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,0.09,93.3
MedAgentBench,GLM-5.1,GLM-5.1,homogeneous,0.009,90.0
MedAgentBench,MiniMax-M2.7,MiniMax-M2.7,homogeneous,0.007,73.3
FinanceBench,MiniMax-M2.7,GLM-5.1,heterogeneous,0.04,53.3
FinanceBench,GLM-5.1,GLM-5.1,homogeneous,0.03,54.7
FinanceBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,0.16,45.3
FinanceBench,GPT-5.4,GPT-5.4,homogeneous,0.02,44.7
IMO-AnswerBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,1.28,80.2
IMO-AnswerBench,GPT-5.4,GPT-5.4,homogeneous,0.9,54.0
SWEBench,GPT-5.4,MiniMax-M2.7,heterogeneous,0.021,76.2
SWEBench,GPT-5.4,GPT-5.4,homogeneous,0.03,68.2
SWEBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,0.063,31.7
